Month,Rainfall (cm)
1964-08,548
1964-09,398.2
1964-10,325.7
1964-11,191.7
1964-12,17.8
1965-01,9.1
1965-02,0.9
1965-03,28.3
1965-04,109.8
1965-05,214.5
1965-06,597.7
1965-07,465.1
1965-08,296.1
1965-09,150.1
1965-10,183.7
1965-11,131.7
1965-12,155.5
1966-01,3
1966-02,6.9
1966-03,67.7
1966-04,167.4
1966-05,95.2
1966-06,496.2
1966-07,601.9
1966-08,202.1
1966-09,293.2
1966-10,392.3
1966-11,245.4
1966-12,50.5
1967-01,14.3
1967-02,0.1
1967-03,24.6
1967-04,70.1
1967-05,244.9
1967-06,541.7
1967-07,741.4
1967-08,508.4
1967-09,145.8
1967-10,172.7
1967-11,74
1967-12,31.1
1968-01,7.3
1968-02,30.5
1968-03,89.2
1968-04,133.3
1968-05,90
1968-06,696.4
1968-07,1308.9
1968-08,380.7
1968-09,325.4
1968-10,178.9
1968-11,119.4
1968-12,32.7
1969-01,2.7
1969-02,6.4
1969-03,19.4
1969-04,117.2
1969-05,227.4
1969-06,550.5
1969-07,818.8
1969-08,284.8
1969-09,216.4
1969-10,235.6
1969-11,119.4
1969-12,66.3
1970-01,12.9
1970-02,17.6
1970-03,25.8
1970-04,132.7
1970-05,289.1
1970-06,535.3
1970-07,558.1
1970-08,554.8
1970-09,212.5
1970-10,278.3
1970-11,80.5
1970-12,5.7
1971-01,31.6
1971-02,18.5
1971-03,20
1971-04,113
1971-05,317.5
1971-06,889.6
1971-07,648.6
1971-08,385.2
1971-09,331.2
1971-10,220.9
1971-11,38.3
1971-12,62.3
1972-01,2.6
1972-02,7.5
1972-03,2.5
1972-04,87.5
1972-05,436
1972-06,401.8
1972-07,714.4
1972-08,294.9
1972-09,185.7
1972-10,351.5
1972-11,140.5
1972-12,114.3
1973-01,0
1973-02,0.3
1973-03,12.3
1973-04,131.5
1973-05,119.9
1973-06,617
1973-07,583.5
1973-08,487.5
1973-09,61.3
1973-10,260.8
1973-11,84.5
1973-12,53.8
1974-01,1.6
1974-02,5.4
1974-03,16
1974-04,128
1974-05,221.5
1974-06,266.9
1974-07,1004.2
1974-08,533.6
1974-09,383.6
1974-10,142.1
1974-11,61
1974-12,3.6
1975-01,5.2
1975-02,21.4
1975-03,63.4
1975-04,123.8
1975-05,162.2
1975-06,864.4
1975-07,531.3
1975-08,675.9
1975-09,457.7
1975-10,368.9
1975-11,204.3
1975-12,19.9
1976-01,0.1
1976-02,1.5
1976-03,21
1976-04,134.5
1976-05,75.8
1976-06,196.8
1976-07,641.5
1976-08,342.6
1976-09,116.2
1976-10,221.3
1976-11,286.7
1976-12,30.8
1977-01,1.1
1977-02,15.7
1977-03,28.3
1977-04,102.3
1977-05,306.4
1977-06,599.6
1977-07,753.3
1977-08,234.2
1977-09,201.3
1977-10,437
1977-11,361.7
1977-12,6.7
1978-01,3.3
1978-02,14.7
1978-03,31.4
1978-04,73.9
1978-05,396.8
1978-06,758.1
1978-07,686.7
1978-08,516.8
1978-09,119.4
1978-10,171
1978-11,365.6
1978-12,39
1979-01,2.4
1979-02,30
1979-03,11.7
1979-04,42
1979-05,127.7
1979-06,582.9
1979-07,662.2
1979-08,383.7
1979-09,211.7
1979-10,163.8
1979-11,261.7
1979-12,23.3
1980-01,0
1980-02,0.9
1980-03,20.8
1980-04,114.8
1980-05,105.3
1980-06,745.9
1980-07,754
1980-08,438.1
1980-09,139.5
1980-10,282.3
1980-11,162.3
1980-12,39.5
1981-01,7
1981-02,6.8
1981-03,28.5
1981-04,75.9
1981-05,166.3
1981-06,912.4
1981-07,489.8
1981-08,495.6
1981-09,376.6
1981-10,265
1981-11,138.6
1981-12,43.3
1982-01,0.7
1982-02,0.1
1982-03,21.9
1982-04,60.4
1982-05,148.2
1982-06,612.2
1982-07,511.5
1982-08,495
1982-09,70.6
1982-10,164.4
1982-11,127.5
1982-12,10.8
1983-01,0.2
1983-02,1.5
1983-03,0.9
1983-04,13.1
1983-05,76
1983-06,322.8
1983-07,583.2
1983-08,579.9
1983-09,421.1
1983-10,136.2
1983-11,116.5
1983-12,69.1
1984-01,36.8
1984-02,60
1984-03,95.3
1984-04,162.1
1984-05,84.6
1984-06,842.6
1984-07,653.6
1984-08,284.4
1984-09,171.1
1984-10,286
1984-11,67.7
1984-12,18
1985-01,61.2
1985-02,6.1
1985-03,29.3
1985-04,66.6
1985-05,254.2
1985-06,828.7
1985-07,388.9
1985-08,315.3
1985-09,117.6
1985-10,204
1985-11,74.9
1985-12,44
1986-01,5.6
1986-02,18.7
1986-03,11.2
1986-04,63.1
1986-05,126.7
1986-06,597.9
1986-07,324.8
1986-08,340.3
1986-09,235.4
1986-10,165.5
1986-11,194.7
1986-12,9.5
1987-01,0.6
1987-02,0.8
1987-03,4.3
1987-04,57.2
1987-05,108.3
1987-06,572.6
1987-07,221
1987-08,396.6
1987-09,157
1987-10,272.1
1987-11,216
1987-12,131.1
1988-01,0.8
1988-02,17.5
1988-03,38.1
1988-04,177.6
1988-05,157.2
1988-06,511.3
1988-07,502.8
1988-08,379.8
1988-09,451.7
1988-10,68.5
1988-11,67
1988-12,31.1
1989-01,10.3
1989-02,0
1989-03,30.1
1989-04,141.5
1989-05,169.4
1989-06,657.5
1989-07,450.7
1989-08,285.5
1989-09,271.1
1989-10,308
1989-11,92.9
1989-12,5.6
1990-01,14.9
1990-02,4.8
1990-03,18
1990-04,41.8
1990-05,488.5
1990-06,528.6
1990-07,635.4
1990-08,370.8
1990-09,103.3
1990-10,323.2
1990-11,158.8
1990-12,5.2
1991-01,10.9
1991-02,4.4
1991-03,33.2
1991-04,97
1991-05,113.4
1991-06,1096.1
1991-07,905.5
1991-08,465.5
1991-09,48.5
1991-10,307.8
1991-11,99.9
1991-12,2.3
1992-01,2.4
1992-02,0.9
1992-03,0.1
1992-04,43
1992-05,218.4
1992-06,819.3
1992-07,767.8
1992-08,508
1992-09,297.5
1992-10,290.7
1992-11,287.6
1992-12,3.7
1993-01,0
1993-02,17.8
1993-03,20.1
1993-04,66.5
1993-05,159
1993-06,657.1
1993-07,776.1
1993-08,301.9
1993-09,88
1993-10,431.2
1993-11,153.8
1993-12,46.2
1994-01,24.3
1994-02,27.1
1994-03,18.1
1994-04,154.5
1994-05,141.3
1994-06,845
1994-07,955.5
1994-08,479.9
1994-09,212.6
1994-10,428.4
1994-11,117.6
1994-12,6.5
1995-01,10.3
1995-02,6.5
1995-03,37.3
1995-04,134.9
1995-05,355.6
1995-06,493.4
1995-07,702.5
1995-08,457.3
1995-09,280
1995-10,198.3
1995-11,182.6
1995-12,0.1
1996-01,2.8
1996-02,9.1
1996-03,14.4
1996-04,124.3
1996-05,74.3
1996-06,572.4
1996-07,696
1996-08,327.4
1996-09,342.7
1996-10,294.1
1996-11,89.9
1996-12,62.5
1997-01,2.1
1997-02,1.5
1997-03,36.1
1997-04,60.6
1997-05,133.6
1997-06,544.2
1997-07,970.5
1997-08,536
1997-09,292.2
1997-10,288.9
1997-11,298.4
1997-12,88.4
1998-01,6
1998-02,2.1
1998-03,8.1
1998-04,61.1
1998-05,151.6
1998-06,732.5
1998-07,641.4
1998-08,371.8
1998-09,517.6
1998-10,444.8
1998-11,135
1998-12,79.4
1999-01,1.8
1999-02,23.8
1999-03,21.4
1999-04,111.6
1999-05,453.2
1999-06,607.3
1999-07,700.4
1999-08,266.3
1999-09,88
1999-10,567.9
1999-11,68.1
1999-12,4.9
2000-01,11.7
2000-02,57.8
2000-03,21.5
2000-04,96.3
2000-05,124.5
2000-06,633.8
2000-07,343.2
2000-08,566.5
2000-09,195.8
2000-10,214.2
2000-11,78.1
2000-12,69.1
2001-01,16.5
2001-02,28.3
2001-03,7
2001-04,238
2001-05,238.6
2001-06,715.3
2001-07,598.5
2001-08,361.3
2001-09,216.8
2001-10,319.6
2001-11,181
2001-12,10.1
2002-01,4.7
2002-02,8.7
2002-03,35.7
2002-04,117.3
2002-05,330.8
2002-06,503.1
2002-07,318.7
2002-08,438.2
2002-09,99
2002-10,511.7
2002-11,137.5
